"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.123686042E0,1.098339234E0,2.066359819E0,9.859061209E-1,2.539331182E0
2.133694042E0,1.540373973E0,2.568145646E0,4.295317110E-1,3.025329987E0
2.143702042E0,4.433883695E-1,3.253483760E0,4.295224285E-1,3.311531268E0
2.153710042E0,-1.536397720E0,2.822917603E0,-3.605802476E-2,3.214137821E0
2.163719042E0,-3.074782909E0,1.993921587E0,-1.475755370E-1,3.667668438E0
2.173727042E0,-3.242289558E0,1.858757935E0,-8.617626429E-2,3.738294930E0
2.183735042E0,-3.480894256E0,2.259458853E0,2.136975692E-1,4.155411626E0
2.193744042E0,-3.581124303E0,2.296176444E0,1.950502503E-1,4.258511727E0
2.203752042E0,-2.757379671E0,2.580641146E0,-2.612261134E-1,3.785642675E0
2.213760042E0,-1.486875897E0,3.378035885E0,-8.792680371E-1,3.794079421E0
2.223768042E0,-5.321303920E-1,2.848516129E0,-6.978154868E-1,2.980629689E0
2.233777042E0,1.816906781E-1,1.697526811E0,6.468704510E-1,1.825664305E0
2.243785042E0,1.206113943E0,9.063096553E-1,2.764364755E0,3.149257140E0
2.253793042E0,1.298738517E0,-2.677293867E-1,4.232666094E0,4.435522858E0
2.263802042E0,1.366860626E0,-1.032200208E0,4.304986796E0,4.633212337E0
2.273810042E0,1.396198007E0,3.118717718E-1,2.120878673E0,2.558272703E0
2.283818042E0,7.047518925E-1,-5.674611694E-1,-7.647701991E-1,1.184719742E0
2.293827042E0,-1.580563202E0,-6.326392052E0,-1.303509260E0,6.649853594E0
2.303835042E0,-2.774196848E-2,-8.025604615E0,-4.318320787E-1,8.037261847E0
2.313843042E0,1.726425651E0,-5.034706446E0,1.766104710E0,5.607846322E0
2.323851042E0,8.453202724E-1,-2.820717296E0,9.305329156E-1,3.088187807E0
2.333860042E0,-7.689790249E-2,-1.858135207E0,-7.657981396E-1,2.011225130E0
