"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.404834750E0,4.493469746E-1,-1.349009369E0,6.556482911E-3,1.421893797E0
2.414843750E0,3.339946391E-1,-1.498427656E0,5.627705330E-1,1.635098936E0
2.424852750E0,1.578578291E-1,-1.661219402E0,9.010962778E-1,1.896455509E0
2.434861750E0,-6.628608316E-2,-1.699688526E0,9.550625700E-1,1.950763810E0
2.444870750E0,-2.462172245E-1,-1.614651592E0,7.889735788E-1,1.813891395E0
2.454879750E0,-3.774069994E-1,-1.436201879E0,3.039376849E-1,1.515747340E0
2.464888750E0,-4.560705052E-1,-1.266933465E0,-3.823254579E-1,1.399747643E0
2.474897750E0,-4.613292351E-1,-1.072306845E0,-1.144510018E0,1.634799625E0
2.484906750E0,-4.263194700E-1,-8.552155155E-1,-2.000383345E0,2.216906718E0
2.494915750E0,-3.400290388E-1,-6.561391649E-1,-2.951276851E0,3.042395997E0
2.504924750E0,-3.300967025E-1,-5.500525466E-1,-3.740128223E0,3.794743833E0
2.514933750E0,-2.544693634E-1,-3.303349400E-1,-4.165944101E0,4.186760810E0
2.524942750E0,-1.606595225E-1,-1.188820803E-1,-4.518523019E0,4.522940935E0
2.534951750E0,-6.011237361E-2,-2.341634452E-2,-4.720907432E0,4.721348198E0
2.544960750E0,-3.235483691E-3,1.140347385E-1,-4.417134054E0,4.418606979E0
2.554969750E0,1.935344327E-2,1.353864312E-1,-3.784737216E0,3.787207392E0
2.564978750E0,1.051590306E-1,3.082593620E-2,-2.844113760E0,2.846224120E0
2.574987750E0,-3.654129714E-2,-1.303446695E-1,-1.792610139E0,1.797714134E0
2.584996750E0,-8.885743193E-2,-2.237998402E-1,-1.105432491E0,1.131354500E0
2.595005750E0,-2.895348233E-1,-2.260676828E-1,-6.008516943E-1,7.042441123E-1
2.605014750E0,-3.999271119E-1,-1.166633543E-1,-3.488881552E-1,5.433921033E-1
2.615023750E0,-3.691786513E-1,8.471387565E-2,-4.046068579E-1,5.542346315E-1
2.625032750E0,-2.686733466E-1,2.961872005E-1,-7.399581242E-1,8.411006185E-1
2.635041750E0,4.242213428E-2,4.925869882E-1,-1.169788701E0,1.269979206E0
2.645050750E0,2.135334451E-1,6.522855574E-1,-1.427421700E0,1.583857851E0
2.655059750E0,2.685358639E-1,7.540657014E-1,-1.488300571E0,1.689900938E0
2.665068750E0,2.950292326E-1,7.809780961E-1,-1.278064517E0,1.526570648E0
2.675077750E0,2.764681236E-1,7.674523169E-1,-8.567890012E-1,1.183006794E0
2.685086750E0,1.333925307E-1,7.026429480E-1,-3.608749473E-1,8.010813986E-1
2.695095750E0,-4.402587935E-2,6.855725867E-1,1.480941850E-1,7.027659192E-1
2.705104750E0,-1.643532452E-1,6.043527147E-1,6.396064550E-1,8.951818867E-1
2.715113750E0,-2.732533975E-1,5.157244205E-1,1.504753466E0,1.613977104E0
2.725122750E0,-2.178762453E-1,3.934708357E-1,2.607773396E0,2.646275013E0
2.735131750E0,-7.110192306E-2,1.831725088E-1,3.402719906E0,3.408388242E0
2.745140750E0,1.210710586E-1,9.385950565E-3,3.532209420E0,3.534296208E0
2.755149750E0,2.218379532E-1,2.418466866E-2,3.228978079E0,3.236679844E0
2.765158750E0,2.301688468E-1,2.894362977E-1,2.674362073E0,2.699808061E0
2.775167750E0,5.761005767E-2,6.133413470E-1,2.001892512E0,2.094535785E0
2.785176750E0,-1.692107465E-1,8.760754573E-1,1.308516231E0,1.583778776E0
2.795185750E0,-4.604174349E-1,9.538711998E-1,6.352765918E-1,1.235083328E0
2.805194750E0,-8.925946455E-1,9.619333407E-1,2.319245464E-1,1.332602697E0
2.815203750E0,-1.277965406E0,1.020881461E0,7.272883773E-2,1.637279457E0
2.825212750E0,-1.640301134E0,9.752687931E-1,2.036930197E-1,1.919173748E0
2.835221750E0,-1.962182609E0,6.183012477E-1,6.548893225E-1,2.159012980E0
2.845230750E0,-2.118853782E0,5.517929703E-2,1.482739869E0,2.586716765E0
2.855239750E0,-1.874461218E0,-3.565848452E-1,2.391838061E0,3.059680852E0
2.865248750E0,-1.407931323E0,-6.947132465E-1,3.023544343E0,3.406863293E0
2.875257750E0,-9.960546946E-1,-9.261059886E-1,3.372657031E0,3.636566060E0
2.885266750E0,-6.530388980E-1,-1.017773373E0,3.378882562E0,3.588756025E0
2.895275750E0,-5.563888087E-1,-1.116682534E0,2.941636546E0,3.195273691E0
2.905284750E0,-7.459494737E-1,-1.127442873E0,2.166190501E0,2.553419146E0
2.915293750E0,-1.101039332E0,-1.101657821E0,1.156152409E0,1.939748942E0
2.925302750E0,-1.648329508E0,-1.131125742E0,9.814609945E-2,2.001516492E0
2.935311750E0,-2.226872613E0,-1.166358432E0,-6.664135998E-1,2.600665436E0
2.945320750E0,-2.702556470E0,-1.125737825E0,-9.559700578E-1,3.079768802E0
2.955329750E0,-2.893183594E0,-1.078684696E0,-1.024484807E0,3.253250851E0
2.965338750E0,-2.659252575E0,-9.649890956E-1,-1.014790708E0,3.005433146E0
2.975347750E0,-2.236029060E0,-8.690766326E-1,-9.655413651E-1,2.585998894E0
2.985357750E0,-1.720739087E0,-8.497302425E-1,-8.647084701E-1,2.104924044E0
2.995365750E0,-1.148879496E0,-7.863921793E-1,-7.233356595E-1,1.568933151E0
3.005375750E0,-5.339873216E-1,-8.103719030E-1,-4.632018059E-1,1.075360867E0
3.015384750E0,-5.410410371E-2,-9.060335205E-1,-3.891672850E-1,9.875602109E-1
3.025393750E0,1.968423488E-1,-8.735349883E-1,-4.979155558E-1,1.024563413E0
3.035401750E0,2.131269906E-1,-7.090484266E-1,-8.772203422E-1,1.147906056E0
3.045411750E0,1.996890292E-1,-5.007140332E-1,-1.473980740E0,1.569461523E0
3.055420750E0,1.892072373E-1,-2.400635782E-1,-2.133365402E0,2.155151465E0
3.065429750E0,1.828497425E-1,-1.113470659E-2,-2.828547302E0,2.834473117E0
3.075438750E0,2.634787898E-1,2.278740339E-1,-3.423951731E0,3.441626520E0
3.085446750E0,3.728963841E-1,4.763127252E-1,-3.917394167E0,3.963824237E0
3.095456750E0,4.244472646E-1,6.233229826E-1,-4.235815405E0,4.302420152E0
3.105465750E0,3.810911838E-1,7.049116677E-1,-4.316083642E0,4.389841564E0
3.115474750E0,4.447554851E-1,7.841440710E-1,-4.077602028E0,4.176066051E0
