"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.278347833E0,5.538115461E0,-2.190074623E-2,-4.384141724E0,7.063419934E0
2.288347833E0,9.443477227E0,-5.270498925E-1,-3.860306046E0,1.021562560E1
2.298347833E0,1.289651242E1,-1.013996072E0,5.834421945E-1,1.294946429E1
2.308347833E0,1.586439420E1,-1.407678577E0,4.022506639E0,1.642684151E1
2.318347833E0,1.922488259E1,-1.780212287E0,2.082561284E0,1.941912274E1
2.328348833E0,2.083942279E1,-1.722814264E0,-1.007910948E0,2.093479199E1
2.338348833E0,1.867183656E1,-6.058446318E-1,-5.050819399E-1,1.868848940E1
2.348348833E0,9.430088857E0,1.240680928E0,-1.946709853E-2,9.511374453E0
2.358348833E0,2.180707383E0,2.166965842E0,1.276629610E0,3.328814926E0
2.368348833E0,-1.273726467E0,2.363351011E0,3.373884947E0,4.311717378E0
2.378348833E0,-3.520131412E0,2.203839553E0,3.831363498E0,5.650449556E0
2.388348833E0,-4.919120441E0,1.762354306E0,3.510579400E0,6.295062060E0
2.398348958E0,-5.261580167E0,3.557095170E-1,2.791591730E0,5.966886919E0
2.408348958E0,-4.831447290E0,-1.720685293E0,1.853387268E0,5.453318728E0
2.418348958E0,-4.156921847E0,-4.213213577E0,3.899648452E-1,5.931546213E0
2.428348958E0,-3.387669173E0,-7.626936189E0,-3.135027941E0,8.914867259E0
2.438348958E0,-2.328453659E0,-1.095596071E1,-5.344224129E0,1.241029827E1
2.448348958E0,-3.878171629E-1,-1.215020656E1,-3.282719838E0,1.259182954E1
2.458349958E0,1.090303406E0,-1.076933747E1,-4.595385253E-2,1.082448626E1
2.468349958E0,2.339412510E-1,-5.761438753E0,2.610687064E0,6.329659703E0
2.478349958E0,-2.370270022E0,-2.064768791E-2,2.976450284E0,3.804978659E0
2.488349958E0,-4.608781224E0,3.223633139E0,-3.675501287E-1,5.636290277E0
2.498349958E0,-6.468865308E0,4.668813418E0,-3.346983662E0,8.651377737E0
2.508349958E0,-7.624888494E0,5.037786759E0,-2.586131097E0,9.497699407E0
2.518350958E0,-8.067174225E0,5.337864697E0,-1.100220283E0,9.735634759E0
2.528350958E0,-8.245129555E0,5.541985733E0,-2.535002239E-1,9.937808089E0
2.538350958E0,-7.888041850E0,4.632145529E0,2.756903343E-1,9.151720143E0
2.548350958E0,-6.503682554E0,2.117395486E0,7.546655526E-1,6.881189614E0
2.558350958E0,-4.755982540E0,-1.176135854E0,1.309982713E0,5.071362753E0
2.568350958E0,-3.148146170E0,-4.289077692E0,2.014220781E0,5.688945167E0
2.578350958E0,-1.779548628E0,-6.598313307E0,2.688341011E0,7.343821159E0
2.588351958E0,-9.280536962E-1,-7.543052033E0,2.932397361E0,8.146034122E0
2.598351958E0,-1.026594775E0,-6.318023517E0,2.702297730E0,6.947929980E0
2.608351958E0,-1.604531231E0,-3.631329666E0,1.928464347E0,4.413621002E0
2.618351958E0,-1.764435038E0,-7.748315030E-1,-1.476883882E0,2.427916980E0
2.628351958E0,-1.859932933E0,1.112843837E0,-2.556461740E0,3.351606861E0
2.638351958E0,-1.993981814E0,1.800535455E0,3.796795928E-1,2.713309417E0
2.648352958E0,-1.835676344E0,2.090646229E0,1.048123931E0,2.973057865E0
2.658352958E0,-1.373071539E0,1.794274841E0,7.562788725E-1,2.382583763E0
2.668352958E0,-6.162114528E-1,1.233958969E0,4.143945122E-1,1.440171554E0
2.678352958E0,1.024838564E-1,8.527719641E-1,1.582975763E-1,8.733733945E-1
2.688352958E0,7.033963618E-1,5.806752920E-1,9.313269675E-2,9.168554606E-1
2.698352958E0,1.018519770E0,3.879270905E-1,1.218208909E-1,1.096681485E0
2.708353958E0,1.084429293E0,4.258936465E-1,2.323320973E-1,1.188002732E0
2.718353958E0,1.035587500E0,5.882895362E-1,6.120146137E-1,1.339062335E0
2.728353958E0,8.465619287E-1,7.845150769E-1,1.233055574E0,1.688951466E0
2.738353958E0,5.580550459E-1,1.015024012E0,1.531238430E0,1.919997476E0
2.748353958E0,2.111224920E-1,1.311933929E0,1.368490537E0,1.907487796E0
2.758353958E0,-5.967405170E-2,1.503791599E0,1.065715864E0,1.844098823E0
2.768353958E0,-1.502848443E-1,1.348993582E0,8.249837295E-1,1.588385146E0
2.778354958E0,-7.550743461E-2,9.391154587E-1,6.721233328E-1,1.157319745E0
2.788354958E0,1.038471347E-1,4.565716481E-1,5.830446569E-1,7.477853764E-1
2.798354958E0,3.027623945E-1,1.152439427E-1,4.820345181E-1,5.807783661E-1
